clip_id,source_file,start_sec,end_sec,duration_sec
clip_0044,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,254.272,274.272,20.0
clip_0045,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,274.272,294.272,20.0
clip_0046,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,294.272,314.272,20.0
clip_0047,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,314.272,334.272,20.0
clip_0048,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,334.272,354.272,20.0
clip_0049,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,354.272,374.272,20.0
clip_0050,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,374.272,378.4,4.128
clip_0051,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,379.968,384.032,4.064
clip_0052,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,386.048,388.448,2.4
clip_0053,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,390.048,395.136,5.088
clip_0054,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,396.0,416.0,20.0
clip_0055,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,416.0,436.0,20.0
clip_0056,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,436.0,456.0,20.0
clip_0057,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,456.0,476.0,20.0
clip_0058,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,477.216,497.216,20.0
clip_0059,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,497.216,517.216,20.0
clip_0060,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,517.216,537.216,20.0
clip_0061,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,537.216,556.256,19.04
clip_0062,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,557.504,561.6,4.096
clip_0063,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,562.464,568.928,6.464
clip_0064,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,570.016,573.696,3.68
clip_0065,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,574.528,594.528,20.0
clip_0066,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,594.528,614.528,20.0
clip_0067,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,614.528,634.528,20.0
clip_0068,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,634.528,654.528,20.0
clip_0069,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,654.528,674.528,20.0
clip_0070,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,674.528,694.528,20.0
clip_0071,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,694.528,714.528,20.0
clip_0072,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,714.528,733.6,19.072
clip_0073,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,734.88,748.256,13.376
clip_0074,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,749.088,751.52,2.432
clip_0075,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,752.608,756.16,3.552
clip_0076,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,762.24,766.368,4.128
clip_0077,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,777.792,780.48,2.688
clip_0078,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,781.6,784.224,2.624
clip_0079,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,789.792,809.792,20.0
clip_0080,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,809.792,829.792,20.0
clip_0081,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,829.792,849.792,20.0
clip_0082,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,849.792,869.792,20.0
clip_0083,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,869.792,889.792,20.0
clip_0084,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,889.792,909.792,20.0
clip_0085,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,909.792,914.752,4.96
clip_0086,Arvid_Lindblad_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,915.808,935.68,19.872
clip_0087,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,2.304,11.712,9.408
clip_0088,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,13.024,22.464,9.44
clip_0089,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,27.52,30.624,3.104
clip_0090,Carlos_Sainz_Full_Qualifying_Team_Radio___2026_Chinese_Grand_Prix.wav,35.808,37.984,2.176
