epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.4410111602614908,0.47847699507153907,0.3663599193096161,0.47749813026371407,0.0001
2,0.33706860875382144,0.5701392225182982,0.35845196353537695,0.48021288939791557,0.0001
3,0.2906550514347413,0.6461418016834767,0.3641450468982969,0.5205482530052803,0.0001
4,0.2470852677436436,0.6874183252326772,0.38064373071704594,0.5471017849422518,0.0001
5,0.22093503676793155,0.7348759091064029,0.3967887982726097,0.532958703443977,5e-05
6,0.1853770128067802,0.7845703330559911,0.40303900092840195,0.560686959259212,5e-05
7,0.16790032207089312,0.8006630215102192,0.43824387554611477,0.5430756596252889,5e-05
8,0.1444970944786773,0.838143377111822,0.4503196201154164,0.5546282335793321,2.5e-05
9,0.13091403048704653,0.8615710110589246,0.47481071416820797,0.546583850931677,2.5e-05
10,0.11814761950689204,0.8652158793421437,0.4814781738179071,0.5656244309478669,2.5e-05
11,0.1103576548397541,0.8725334251274202,0.5108643227389881,0.5510361892978658,1.25e-05
12,0.11212351991630652,0.881697835781435,0.517957404255867,0.5444294281470168,1.25e-05
13,0.10179311933324617,0.8851956493518692,0.5108513938529151,0.5675529615218332,1.25e-05
14,0.09235351548037109,0.8957220323273859,0.5202235441122737,0.5483542779589067,6.25e-06
15,0.09170159062041956,0.8926985441322861,0.5275172931807381,0.5631548267452424,6.25e-06
16,0.09120459107353407,0.8983682335748003,0.5270383624093873,0.5594130773130441,6.25e-06
17,0.08848215586998884,0.8976602991606041,0.5304854959249496,0.5492221715964777,3.125e-06
18,0.08739750810405787,0.901673687310025,0.530018367937633,0.562379418684404,3.125e-06
19,0.08880330814486917,0.8981986788606346,0.5349961721471378,0.5462886181454786,3.125e-06
