epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.5100181529155144,0.3185090738983836,0.4769272080489567,0.30929185427752764,0.0001
2,0.4438319508845989,0.414075568384408,0.4290452152490616,0.515756357861621,0.0001
3,0.3642463979812769,0.5290722141559799,0.38323542582137243,0.5321021571021571,0.0001
4,0.3186243245234856,0.5730486779602103,0.4276663735508919,0.47164068231747946,0.0001
5,0.2784449446659822,0.5854672270934446,0.43439279603106634,0.47808757118941586,0.0001
6,0.2392474739597394,0.6246181184537064,0.45006770321301054,0.48006658803872426,5e-05
7,0.22119945402328783,0.6692694387108066,0.47020399464028223,0.49284433255420285,5e-05
8,0.18773680478334426,0.6890430643098443,0.5140814727970532,0.46946225184244855,5e-05
9,0.17732020754080552,0.7187169877795635,0.7047555350831577,0.5255633781279695,2.5e-05
