epoch,train_loss,train_f1,val_loss,val_f1
1,1.0778801019849449,0.24106736011188415,1.0610293241647573,0.07271653078104691
2,1.0447311072513974,0.20819759513664293,1.0231296328397899,0.29546747967479675
3,0.9923070432810948,0.3506980195267173,0.999157387476701,0.2665945165945166
4,0.9735510729510208,0.3383460268100551,0.9594373015257028,0.47108137175050735
5,0.9371500744901854,0.43476153382480054,0.9368331065544715,0.4314889788573999
6,0.9096781380217651,0.47463116406176403,0.9228804157330439,0.4244986001708526
7,0.889754508076043,0.45170948796193927,0.892217755317688,0.49165367779861696
8,0.8828265882771591,0.4748553343241497,0.8808937393701993,0.5206582633053222
9,0.8675105397043557,0.5113391882530586,0.8685001685069158,0.5149261467869232
10,0.8667175553995987,0.5180800516551906,0.8664473982957693,0.4846335697399527
11,0.8133828259747604,0.5017413095007978,0.8512519781406109,0.5264030723575107
12,0.8205323003489395,0.549792414748553,0.8564525705117446,0.4491647457241242
13,0.8184410919403208,0.5116486222303397,0.8329140543937683,0.5582891945966969
14,0.7907249038589412,0.5688812981026947,0.822204053401947,0.5202020202020202
15,0.7953704677779099,0.5510847453169484,0.8199714147127591,0.5373304215472173
16,0.8237380858125358,0.5580287120832306,0.8103073629049155,0.5498876006098642
17,0.797488087723995,0.549566627140905,0.8161101249548105,0.5160046113306983
