epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.4502425021984998,0.44991079166770787,0.41016855410167147,0.38348587642942483,0.0001
2,0.3596698575160083,0.5676115379235066,0.35256874348436085,0.4921592505854801,0.0001
3,0.2974483242806266,0.6362939115276394,0.36380388694150106,0.5117093649164247,0.0001
4,0.259375821667559,0.6835718997390136,0.3877338905419622,0.46644144144144145,0.0001
5,0.22805931920952657,0.7093010392029101,0.4112556598016194,0.4857860072719744,5e-05
6,0.19929716271512649,0.7445676896737705,0.4388722191963877,0.49493889497726623,5e-05
7,0.17935395364046974,0.7742035518593692,0.4488392046519688,0.5065428356868574,5e-05
8,0.17009861995192135,0.7919252969076279,0.47509741357394625,0.5225791392095954,2.5e-05
9,0.15982407355571496,0.8170245534468022,0.4893569350242615,0.5287440183237154,2.5e-05
10,0.14918040286968737,0.8098509488725129,0.49590196886232923,0.5234749704375247,2.5e-05
11,0.1423883921959821,0.8290583550196519,0.5101210826209613,0.5444268790725484,1.25e-05
12,0.1381232512786108,0.8389936156929089,0.5040360859462193,0.5344743147250984,1.25e-05
13,0.1363446117762257,0.8499353875562209,0.5206850756491933,0.5504873786123786,1.25e-05
14,0.1288948126794661,0.8588260991333465,0.502046565924372,0.5015184726452205,6.25e-06
15,0.1176605035276974,0.8513780722235302,0.5163112272109304,0.533950154205218,6.25e-06
16,0.11955885974799886,0.8698322750046888,0.5212399214506149,0.5344743147250984,6.25e-06
17,0.12255196659003988,0.8565022210699161,0.5297090208956173,0.5311380916139415,3.125e-06
18,0.11893575152053552,0.8719261563089663,0.5231927558779716,0.5337562548416138,3.125e-06
19,0.11992845881511183,0.867093515511446,0.5242525402988706,0.5337562548416138,3.125e-06
