epoch,train_loss,train_f1,val_loss,val_f1,lr
1,0.4637553201271937,0.41430924564172195,0.4438539615699223,0.4931690989422948,0.0001
2,0.39272086712030263,0.5125028657738938,0.4235741975052016,0.5021423494771042,0.0001
3,0.3384265601634979,0.5621734961479067,0.41528073378971647,0.47851046535257064,0.0001
4,0.30851371586322784,0.5799232016373664,0.4380544594355992,0.4999358348501975,0.0001
5,0.2886704013897822,0.6153167066659757,0.4478604516812733,0.5010028764969476,0.0001
6,0.267919722543313,0.6553784529341476,0.5148446655699185,0.5075963683365647,5e-05
7,0.2444034585585961,0.6710159105164034,0.4626041714634214,0.49557652205987085,5e-05
8,0.24084661935384458,0.6777571618095886,0.4781804212502071,0.5075267656320288,5e-05
9,0.2170083523942874,0.7097186813470544,0.5167176797986031,0.507435148295706,2.5e-05
10,0.21237304646235247,0.7236660625691185,0.5497208173785891,0.499170928462247,2.5e-05
11,0.201514876805819,0.7349665391815036,0.5237228806529727,0.4967575646570288,2.5e-05
12,0.19931214566414174,0.7346509283945933,0.5302873402833939,0.504338518624233,1.25e-05
